fkprocessnode	paramname	paramvalue	pkid	primarydata	resettoggle	tkparam	tkreset	tkservice	versionstamp
00000000-1111-0000-0000-000000000000	ToneOnHoldTime	10	5718f957-32ee-42a7-83f6-60e0d0f449e5	t	f	2	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	UnknownCallerId		25034d1a-5f58-40e2-926c-64b443d38dc6	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	UnknownCallerIdFlag	T	915ef25b-0846-4e46-896c-e160805bcab0	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	UnknownCallerIdText		bfe790c0-6d0c-4f20-8eb3-cf97efcff77a	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	CallClassification	1	8721b6c9-a901-4300-b89b-d79ec0ca2e90	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	AlwaysDisplayOrignalDialedNumber	F	1fac45d2-bf1d-4c01-8a74-c871d18696c7	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	NameDisplayForOriginalDialedNumberWhenTranslated	T	6b8284a1-ab1e-4ac9-ae52-7ee5427f4191	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	AlwaysUsePisWithOriginalDialedNumber	F	fa585b26-e8fd-4f1c-a735-3abe02c61b2f	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	OutOfBandwidthCauseValue	34	e14306a8-4b19-4744-b232-52757da53a08	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	StripPlusForOutgoingCallsThroughGateway	F	56e080e9-e39f-44b6-b450-4de6c228cdc5	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	FailCallIfTRPAllocationFails	T	cf507697-8499-468f-8c60-3566abc48316	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	AllowPartyIDDisplayIfPIisNA	F	0e4c0470-f611-492a-a86e-fee00a684905	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	TransitCounterEnabledForQSIGTrunks	F	af7cc433-aaeb-4a06-b9fd-1dec3418c5c7	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	EgressFacilityIECount	6	4fa2a9ac-6980-49cb-a5eb-6d009383a057	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	EnableDeviceMobilityforTrunks	F	1a94e9d2-9f01-49c6-a8fb-8645d8b27d18	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	AlwayUsePrimeLine	F	d005b365-f078-428b-922d-0188fb66037a	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	AlwayUsePrimeLineForVoiceMail	F	819decd3-3bc6-445b-8d65-396155ee5823	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	BibEnable	0	c76e91aa-d96b-4a19-a7cb-80411dccb62e	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	DeviceMobilityMode	0	73eef2cf-4727-421f-a2be-d4965e1e73eb	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	DisplayDeviceMobilityLocation	1	5b9d5f46-3f35-47a8-a682-28e4a5aa89d3	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
